ID,imdb_title_id,title,original_title,Year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
45811,tt0464160,Chup Chup Ke,Chup Chup Ke,2006,6/9/2006,"Comedy, Drama, Romance",164,India,Hindi,"Priyadarshan, Kookie Gulati","Priyadarshan, Neeraj Vora",UTV Motion Pictures,"Kareena Kapoor, Shahid Kapoor, Paresh Rawal, Neha Dhupia, Rajpal Yadav, Sunil Shetty, Om Puri, Asrani, Anupam Kher, Manoj Joshi, Shakti Kapoor, Sushma Reddy, Amita Nangia, Priyanshi, Jaya Murali","A debt-ridden young man attempts suicide, but is rescued only to find that his luck is finally turning.",6.7,7049,,"$334,618","$942,905",,16,4
45840,tt0465234,National Treasure: Book of Secrets,National Treasure: Book of Secrets,2007,2/8/2008,"Action, Adventure, Mystery",124,USA,"English, French",Jon Turteltaub,"Marianne Wibberley, Cormac Wibberley",Walt Disney Pictures,"Nicolas Cage, Justin Bartha, Diane Kruger, Jon Voight, Helen Mirren, Ed Harris, Harvey Keitel, Bruce Greenwood, Ty Burrell, Michael Maize, Timothy V. Murphy, Alicia Coppola, Armando Riesco, Albert Hall, Joel Gretsch",Benjamin Gates must follow a clue left in John Wilkes Booth's diary to prove his ancestor's innocence in the assassination of Abraham Lincoln.,6.5,208604,"$130,000,000","$219,964,115","$457,364,600",48,309,189
45857,tt0465551,Notes on a Scandal,Notes on a Scandal,2006,2/2/2007,"Crime, Drama, Romance",92,UK,"English, French",Richard Eyre,"Patrick Marber, ZoÃ« Heller",Fox Searchlight Pictures,"Judi Dench, Cate Blanchett, Tom Georgeson, Michael Maloney, Joanna Scanlan, Shaun Parkes, Emma Kennedy, Syreeta Kumar, Andrew Simpson, Phil Davis, Wendy Nottingham, Tameka Empson, Leon Skinner, Bill Nighy, Juno Temple","A veteran high school teacher befriends a younger art teacher, who is having an affair with one of her 15-year-old students. However, her intentions with this new ""friend"" also go well beyond platonic friendship.",7.4,71950,"$15,000,000","$17,510,118","$49,752,391",73,291,222
45861,tt0465616,Stagknight,Stagknight,2007,2007,"Comedy, Horror",79,UK,English,Simon Cathcart,"Simon Cathcart, Rob Mercer",Stag Knight Ltd.,"Martin Bayfield, Jocelyn Osorio, Paul Coskun, Simeon Willis, James Hillier, Jason Lee Hyde, Harry Athwal, Sandra Dickinson, Danielle Mason, Stephen Wisdom, Tony Tang, Joe Montana, Santos Regules, Simon Cathcart, Barry McNeill","Stagknight is derived from the uncensored lusty straight-to-Drive-In horrors of the 70's and 80's, I Spit on your Grave, The Beast, Samurai Assisan, movies that spawned the mighty Evil Dead...",3.2,260,GBP 1500000,,,,8,5
45866,tt0465670,Wilderness,Wilderness,2006,8/11/2006,Horror,93,UK,English,M.J. Bassett,Dario Poloni,Momentum Pictures,"Sean Pertwee, Alex Reid, Toby Kebbell, Stephen Wight, Luke Neal, Ben McKay, Lenora Crichlow, Karly Greene, Adam Deacon, Richie Campbell, Stephen Don, John Travers, George Shane, Gordon Fulton, John Rea","Juvenile delinquents are sent to a small British island after a fellow prisoner's death, where they have to fight for survival.",6.1,8889,GBP 3000000,,"$566,098",,74,69
45893,tt0466403,Unnatural & Accidental,Unnatural & Accidental,2006,9/14/2006,"Crime, Drama, Mystery",90,Canada,English,Carl Bessai,"Marie Clements, Marie Clements",Raven West Films Ltd.,"Tantoo Cardinal, Na'Ku'Set Shepherd, Tinsel Korey, Michelle Thrush, Sophie Merasty, Trina Sxwithul'Txw, Quelemia Sparrow, Carmen Moore, Nikki Gould, Campbell Lane, Matthew Walker, Callum Keith Rennie, Stuart Pierre, JR Bourne, Michael St. John Smith","Returning to her hometown of Vancouver on the news that her Caucasian father is on his deathbed, Rebecca learns from him before he dies that her aboriginal mother, Rita, did not abandon ...",4.7,225,,"$5,420","$5,420",,3,4
45898,tt0466460,Khosla Ka Ghosla!,Khosla Ka Ghosla!,2006,9/22/2006,"Comedy, Crime, Drama",135,India,Hindi,Dibakar Banerjee,Jaideep Sahni,Tandav Film Entertainment,"Anupam Kher, Boman Irani, Parvin Dabas, Tara Sharma, Navin Nischol, Kiran Juneja, Ranvir Shorey, Vinod Nagpal, Vinay Pathak, Nitish Pandey, Rajendra Sethi, Rajesh Sharma, Roopam Bajwa, Anusha Lal, Irfan Mir Sarkh Noor",A Delhi based retired middle class man tries half-heartedly to get his land back from a swindling property dealer with the help of his sons and their friends.,8.3,20553,,"$26,472","$40,194",,46,10
45911,tt0466766,Drive Thru,Drive Thru,2007,5/29/2009,"Comedy, Horror",83,USA,English,"Brendan Cowles, Shane Kuhn","Brendan Cowles, Shane Kuhn",Armada Pictures,"Leighton Meester, Nicholas D'Agosto, Melora Hardin, Lola Glaudini, Larry Joe Campbell, Van De La Plante, Penn Badgley, Sita Young, Rachael Bella, John Gilbert, Morgan Spurlock, Edward DeRuiter, Haven Lamoureux, Paul Ganus, Robert Curtis Brown","Horror gets Super Sized when Horny The Clown, the demonic mascot of ""Hella-Burger,"" starts slashing Orange County teenagers with his meat cleaver from Hell.",4.5,3852,,,,,58,26
45921,tt0466923,The Perfect Stranger,The Perfect Stranger,2005,4/12/2005,Drama,90,USA,English,"Jefferson Moore, Shane Sooter","David Gregory, Jefferson Moore",Kelly's Filmworks,"Pamela Brumley, Jefferson Moore, Tom Luce, Dennis Martin, Stella Davis, Vin Morreale Jr., Melissa Combs, Leslie Kyle Hudson, Jerry L. Wallace, Cassandra Arza, Matthew Chappell, Christopher Chiarot, Monica Hardin, Gregory Michael Smith, Michele Cardinali","'THE PERFECT STRANGER' tells the story of Nikki, a troubled attorney who one day receives a mysterious dinner invitation from a man claiming to be Jesus of Nazareth. Throughout their ...",6.7,647,"$100,000",,"$25,759",,40,3
45925,tt0467004,The System Within,The System Within,2006,2006,Drama,108,USA,English,Dale Resteghini,"Tariq Alexander, Debora Heflin",System Within Film Production,"Nick D'Castro, Tariq Alexander, Kevin Atchison, Komplex Bernard, Monte Bezell, Alan Carter, Alan Carter, Dwight Cenac, Chingy, Billy Cobb, Robert Davis III, Jarret C. Egan, Ella Evans, Andrea Frisby, Ianello Garcino","Tony ""Wise"" Good, is an internationally famous model. He fought his way out of the inner city and rocketed straight to the top. He had it all... The career, the trophy wife, fame, fortune ...",3.3,100,"$500,000",,,,2,1
45949,tt0468458,Brother's Shadow,Brother's Shadow,2006,4/29/2006,Drama,91,USA,English,Todd S. Yellin,"Ivan Krim, Todd S. Yellin",Fish Six Film LLC,"Scott Cohen, Katie Danziger, Lisa Emery, Ato Essandoh, Robert Feeley, Susan Floyd, Marc Fogel, Judd Hirsch, Diane Kagan, Elliot Korte, Jerry Matz, Donna Mitchell, James Murtaugh, Jay Patterson, Toby Poser","Jake Groden is the black sheep of his family. Ankle deep in fish guts, he serves out his parole in Alaska. Then, after a decade of self-imposed exile, he is forced to return to his Brooklyn...",6,111,"$1,000,000",,,,10,1
